Tarea,Detalle,Dia
A.1. Conductores,Encargado de gestionar el transporte de caminantes y servidores para el retiro. Gestiona los coches para que todos tengan una forma de llegar el fin de semana.,Antes del retiro
1.1. Recibimiento,Son los encargados de recibir de forma general a los caminantes a la entrada y darles instrucciones.,Viernes tarde
1.2. Entrada Mesa 1,"Se encargan de realizar el registro de los caminantes que van llegando al retiro, además de pedirle sus pertenencias (móvil, laptop, llaves de coche, etc.) y guardarlas en las bolsas con sus nombres. Decir a los caminantes que deben coger jersey porque hasta después del camino de la vida no tendrán las maletas",Viernes tarde
1.3. Entrada Mesa 2,"Se encargan de realizar el registro de los caminantes que van llegando al retiro, además de pedirle sus pertenencias (móvil, laptop, llaves de coche, etc.) y guardarlas en las bolsas con sus nombres. Decir a los caminantes que deben coger jersey porque hasta después del camino de la vida no tendrán las maletas",Viernes tarde
1.4. Logistica mesas,"Se encargan de proporcionar a las mesas de recepción con las listas de caminantes, identificadores, bolsas, y otro material necesario. Normalmente son los lideres de logística.",Viernes tarde
1.5. Maletero,Etiquetan las maletas de los caminantes y las distribuyen a las habitaciones,Viernes tarde
1.6. Snacks Bienvenida,"Se encargan de preparar el lugar donde se recibe a los caminantes, para que se vayan conociendo.",Viernes tarde
1.7. Parking,"Se encargan de preparar el lugar donde se recibe a los caminantes, para que se vayan conociendo.",Viernes tarde
2.1. Montaje,Son los encargados de montar las cuerdas de los dos caminos de vida por la que irán los caminantes.,Viernes
2.2. Hoguera,Encargados de encender la hoguera,Viernes noche
3.1. Responsable de la Sala,"Responsable de gestionar la sala y la dinámica del camino de la vida, suele ser el líder de logística y/o colíder.",Viernes noche
3.2. Lector,Realiza la lectura de las frases del camino de la vida (frases de Madre Teresa).,Viernes noche
3.3. Blinds,Se encargan de tapar los ojos a los caminantes antes del camino de la vida.,Viernes noche
3.4. T.Sala - Cuerda,Realizan el transporte de los caminantes desde la sala de charlas al inicio del camino de la vida.,Viernes noche
3.5. Cuerda 1,"Encargados de vigilar a los caminantes en camino 1 del camino de la vida. Uno de ellos (el más veterano, dirá al inicio del camino a los caminantes: 1 ó 2 ? Para que estos elijan el camino)",Viernes noche
3.6. Cuerda 2,"Encargados de vigilar a los caminantes en el camino 2 del camino de la vida. Uno de ellos (el más veterano, dirá al inicio del camino a los caminantes: 1 ó 2 ? Para que estos elijan el camino)",Viernes noche
3.7. Abrazos,Esperan al final del camino a los caminantes. Suelen ser los coordinadores.,Viernes noche
3.8. T.Cuerda - Fogata,Transportan a los caminantes desde el final del camino de la vida hasta la fogata/hoguera.,Viernes noche
4.1. Snacks Hoguera,Preparan el momento de convivencia en la hoguera.,Viernes noche
4.2. Animar Hoguera,Son los encargados de animar a los caminantes en la fogata.,Viernes noche
5.1. Desp. Chicas,Encargadas de despertar a las chicas tanto el día sábado como el domingo. Se hace mediante altavoces y las respectivas canciones (sábado: ángeles volando; domingo: himno effetá).,Sabado/Domingo
5.2. Desp. Chicos,Encargados de despertar a los chicos ambos días del retiro. Se hace mediante altavoces y las respectivas canciones.,Sabado/Domingo
6.1. Hacer foto,Encargado de hacer la foto de grupo.,Sabado
7.1. Coord. Máscaras,Se encarga de coordinar a los servidores que realizarán la dinámica.,Sabado
7.2. Lector,Lector de la dinámica,Sabado
7.3. Máscaras,Servidores encargados de realizar la dinámica de las máscaras utilizando el Anexo 16 (A16),Sabado
8.1. Atención Sacerdotes,"Reciben a los sacerdotes y atienden a los sacerdotes, durante la cena, que estarán realizando confesiones en la dinámica del muro.",Sabado
10.1. Responsables,"Encargados de coordinar la sala y el momento donde se realiza el muro, así como a los servidores que están asignados para estar en él. Normalmente son los líderes de logísticas.",Sabado
10.2. Blinds,Suelen ser los líderes del equipo de Capilla +/- algún servidor más.,Sabado
10.3. Capilla / Confesionarios,Responsables de team capilla. Controlan que en capilla este todo ok. Distribucion de sacerdotes. Ayudan a los coordinadores a saber cuando se ha liberado un sacerdote. Y acompañan a los caminantes al acabar de confesarse a quien le acompañará a cartas. ,Sabado
10.4. T-Cap / Muro,Se encargan de transportar a los caminantes desde la capilla donde se ha realizado el testimonio a la sala del muro.,Sabado
10.5. Vigilantes + Atar,"Mientras se realiza la lectura del muro, son los encargados de vigilar a los caminantes y luego atar sus manos.",Sabado
10.6. Rezadores,Es un equipo de servidores que están en el muro rezando por los caminantes durante la dinámica.,Sabado
11.1. Nexo,"Junto con los responsables del muro y los de capilla, se encargan de establecer un nexo de cuantos caminantes pueden ser transportados de un lugar a otro y si hay sacerdotes disponibles para confesar.
Suelen ser los Ángeles de la Guarda.",Sabado
11.2. T-Muro / Conf,"Se encargan del transporte de caminantes desde la sala del muro a la capilla nuevamente, para las confesiones.",Sabado
11.3. Confesiones,"Suelen ser dos servidores de capilla
Transportan a los caminantes hacia los sacerdotes para las confesiones una vez han llegado a la capilla y los cordis les han destapado los ojos ante el Santísimo. 
Además rezan por los caminantes.",Sabado
11.4. T-Conf / Cartas,"Encargados del transporte de caminantes al final de las confesiones, hacia la sala de cartas.",Sabado
11.5. Cartas,"Los líderes de palancas son los encargados de la logística de la sala de cartas, así como de coordinar esta dinámica.",Sabado
11.6. T-Cartas / Agape,Transporte de la sala de cartas hasta el lugar donde se realiza el ágape.,Sabado
11.7. Lector,Encargado de la lectura realizada en la sala del muro.,Sabado
12.1. Responsable,"Es la persona encargada de coordinar el momento, lugar, y logística del ágape. Suele ser el líder de Snacks.",Sabado
12.2. Preparar Ágape,Son los que se encargan de preparar el momento y el lugar del ágape.,Sabado
12.3. Animar Ágape,Animan a los caminantes durante el ágape.,Sabado
13.1. Camarero Mesa 1,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.2. Camarero Mesa 2,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.3. Camarero Mesa 3,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.4. Camarero Mesa 4,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.5. Camarero Mesa 5,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.6. Camarero Mesa 6,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.7. Camarero Mesa 7,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.8. Camarero Mesa 8,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.9.  Camarero Mesa 9,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.10. Camarero Mesa 10,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
14.1. Campanilla,Llevan los tiempos del retiro y se encargan de avisar a los caminantes cuando deben de pasar a otro momento del retiro y a dónde ir.,Todos los dias
14.2. Asignación mesas,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar. 
Un ángel de la guarda (en general) al final de todas las explicaciones del viernes antes de cenar, va llamando nombre por nombre a los caminantes en el orden de las mesas. Así los caminantes salen junto a sus servidores de mesa de la sala de charlas y se dirigen al comedor para cenar. ",Viernes
14.3. Texto Effeta,Se encarga de la lectura del texto de Effeta durante las diferentes partes del retiro (Anexo 7). También de dar una pequeña reflexión de cada trozo del pasaje.,Viernes
14.4. Luz,Explica a los caminantes y servidores qué simboliza la luz de la dinámica Enciende una Luz que se realiza el viernes en la cena,Viernes
14.5. Diario,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar.
Explica a los caminantes qué es la libreta que se les ha entregado, para que sirve...",Viernes
14.6. Palanquitas,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar.
Explica el significado de la palabra “palanca”, haciendo hincapié en el lado más espiritual.",Viernes
14.7. Cantar Orando,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar.
Explica el por qué de la música durante el retiro de Effetá, por qué cantamos.",Viernes
14.8. Santísimo,"En capilla, durante la oración de inicio Sábado, se explica qué es el Santísimo Sacramento, eje espiritual del retiro y que estará expuesto en la capilla todo el fin de semana.",Sabado
14.10. Confidencialidad,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar y también en capilla el sábado por la tarde se recuerda. Se repite varias veces debido a la importancia que tiene. Ver el min a min. 
Un servidor explica la importancia de la confidencialidad en el retiro.",Viernes
14.11. Sanando mi alma,Un servidor dirige en la capilla esta dinámica que se realiza el sábado por la tarde. La carta que ayuda a preparar la confesión (sin explicar que es porque van a tener la oportunidad de confersarse). Suele ser el líder o colíder de capilla y suele ir acompañado del ángel de la guarda de caminantes,Sabado
14.12. Biblias,"Un servidor (habitualmente del equipo de logística), tras el pasaje 3 de Effetá, en la sala de charlas el sábado por la tarde, explica qué es la Biblia y posteriormente se entregan a cada caminante antes de ir a cenar con su mesa. Si da tiempo, se explica los puntos claves (Puntos marcados)",Sabado
14.13. Carta de Jesús,Un servidor dirige en la capilla esta dinámica que se realiza el domingo por la mañana. Suele estar acompañado del ángel de la guarda de caminantes,Domingo
14.14. Historia Gabo,Servidor que explica la historia de Gabo durante la comida del domingo.,Domingo
14.15. Oración Inicio Sábado,"Un servidor dirige en la capilla, previamente a desayunar y empezar el día, unos minutos de oración para los servidores y caminantes.  Se lo preparan ellos.",Sabado
14.16. Oración Domingo,"Un servidor dirige en la capilla, previamente a desayunar y empezar el día, unos minutos de oración para los servidores y caminantes.  Se lo preparan ellos.",Domingo
14.17. Resumen Viernes,Servidor encargado de realizar el sábado por la mañana un resumen de lo vivido el día anterior (viernes) en el retiro.,Sabado
14.18. Resumen Sábado,Servidor encargado de realizar el domingo por la mañana un resumen de lo vivido el día anterior (sábado) en el retiro.,Domingo
15.1. Bendición Cena Viernes,Servidor que con el micrófono dirige la bendición de la mesa de cenar el viernes noche.,Viernes
15.2. Bendición Desayuno Sábado, Servidor que con el micrófono dirige la bendición de la mesa de desayunar el sábado. ,Sabado
15.3. Bendición Comida Sábado,Servidor que con el micrófono dirige la bendición de la mesa de la comida del sábado.,Sabado